,store,chain,co_owned,state,southj,centralj,northj,pa1,pa2,shore,ncalls,empft,emppt,nmgrs,wage_st,inctime,firstinc,meals,open,hoursopen,pricesoda,pricefry,priceentree,nregisters,nregisters11,time,fte,change_fte
169,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,30.0,4.0,4.5,,0.25,3.0,7.0,16.0,0.93,0.83,0.85,4.0,3.0,0.0,31.0,
579,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,20.0,40.0,4.0,5.05,,,2.0,7.0,16.0,1.05,0.79,0.9,4.0,3.0,1.0,40.0,9.0
170,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,3.0,4.75,26.0,0.5,1.0,7.0,14.0,1.06,0.91,0.96,2.0,2.0,0.0,13.0,
580,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,7.5,10.0,3.0,5.25,19.0,0.38,1.0,7.0,15.0,1.05,1.01,0.94,2.0,2.0,1.0,12.5,-0.5
171,3.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,6.0,13.0,3.0,4.25,13.0,0.25,2.0,11.0,10.0,1.06,0.95,3.09,5.0,3.0,0.0,12.5,
581,3.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,7.0,3.0,5.05,26.0,0.25,1.0,11.0,11.0,1.05,0.94,2.75,5.0,3.0,1.0,7.5,-5.0
582,4.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,5.0,30.0,4.0,5.05,26.0,0.28,2.0,8.0,13.5,1.22,1.37,0.89,6.0,4.0,1.0,20.0,4.0
172,4.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,12.0,3.0,4.75,4.0,0.25,2.0,9.0,12.5,1.06,1.0,2.13,8.0,4.0,0.0,16.0,
583,5.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,10.0,30.0,4.0,5.15,4.0,0.18,2.0,6.0,17.0,1.05,0.94,0.94,5.0,5.0,1.0,25.0,5.0
173,5.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,30.0,4.0,4.5,13.0,0.17,1.0,6.0,17.0,0.95,,2.13,5.0,4.0,0.0,20.0,
96,6.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,13.0,0.25,1.0,11.0,7.0,1.2,1.17,2.35,4.0,2.0,0.0,3.0,
506,6.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,2.0,5.05,13.0,0.15,1.0,10.0,8.0,1.11,1.01,2.23,4.0,2.0,1.0,6.0,3.0
174,8.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,25.0,4.0,4.8,,0.15,1.0,10.5,12.0,1.02,0.91,2.28,2.0,1.0,0.0,,
584,8.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,15.0,25.0,3.0,5.05,26.0,0.33,2.0,10.0,13.0,1.01,1.01,0.94,2.0,2.0,1.0,27.5,
175,9.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,12.0,40.0,4.0,4.37,26.0,0.15,2.0,7.0,16.0,1.04,0.67,0.85,4.0,4.0,0.0,32.0,
585,9.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,32.0,4.0,5.05,26.0,0.13,2.0,7.0,16.0,1.11,0.92,1.01,4.0,3.0,1.0,16.0,-16.0
176,10.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,20.0,4.0,4.25,39.0,0.17,2.0,7.0,16.0,1.04,0.85,0.85,3.0,3.0,0.0,25.0,
586,10.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,15.0,15.0,4.0,5.05,4.0,0.28,2.0,7.0,16.0,0.94,0.87,0.94,3.0,2.0,1.0,22.5,-2.5
587,11.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,12.0,24.0,3.0,5.05,,,2.0,7.0,16.0,1.05,0.87,0.94,3.0,2.0,1.0,24.0,-1.0
177,11.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,10.0,30.0,4.0,4.25,26.0,0.1,2.0,7.0,16.0,1.09,0.89,0.91,3.0,3.0,0.0,25.0,
178,12.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.5,23.5,3.0,4.37,9.0,0.1,2.0,7.0,16.0,1.05,0.79,0.91,3.0,3.0,0.0,18.25,
